resource_id,resource_name,service,resource_type,region,team,environment,cpu_avg_7d,memory_avg_7d,daily_cost_usd,monthly_cost_usd,days_running,last_accessed,status,tags
i-07517938612,payments-staging-ec2-16,EC2,m5.4xlarge,ap-south-1,payments,staging,4.18,27.31,18.43,552.9,94,2026-03-31,running,"team:payments,env:staging"
i-09894847574,data-eng-prod-ec2-17,EC2,t3.large,eu-west-1,data-eng,prod,50.84,10.3,2.0,60.0,78,2026-05-24,running,"team:data-eng,env:prod"
i-03030106617,platform-dev-ec2-18,EC2,t3.large,us-east-1,platform,dev,30.38,77.67,2.0,60.0,12,2026-03-23,running,"team:platform,env:dev"
i-09822598054,platform-prod-ec2-19,EC2,m5.2xlarge,eu-west-1,platform,prod,2.07,93.57,9.22,276.6,87,2026-03-19,running,"team:platform,env:prod"
i-01822873088,platform-sandbox-ec2-20,EC2,t3.large,eu-west-1,platform,sandbox,3.69,45.38,2.0,60.0,96,2026-04-16,running,"team:platform,env:sandbox"
i-01420514789,payments-dev-ec2-21,EC2,m5.4xlarge,eu-west-1,payments,dev,3.92,94.94,18.43,552.9,62,2026-03-22,running,"team:payments,env:dev"
i-04875962612,platform-staging-ec2-22,EC2,t3.medium,ap-south-1,platform,staging,2.28,39.11,1.0,30.0,24,2026-03-27,running,"team:platform,env:staging"
i-03090237817,data-eng-sandbox-ec2-23,EC2,m5.4xlarge,ap-south-1,data-eng,sandbox,4.04,31.7,18.43,552.9,39,2026-03-07,running,"team:data-eng,env:sandbox"
i-01676168421,frontend-prod-ec2-24,EC2,t3.medium,eu-west-1,frontend,prod,0.69,12.21,1.0,30.0,98,2026-03-17,running,"team:frontend,env:prod"
i-03553440342,platform-prod-ec2-25,EC2,m5.xlarge,eu-west-1,platform,prod,38.65,12.38,4.61,138.3,89,2026-03-13,running,"team:platform,env:prod"
vol-08370987661,frontend-dev-ebs-01,EBS,gp3-1000GB,ap-south-1,frontend,dev,0,0,3.33,100.0,71,2026-03-15,available (unattached),"team:frontend,env:dev"
vol-08067372072,ml-ops-staging-ebs-02,EBS,gp3-200GB,us-east-1,ml-ops,staging,0,0,0.67,20.0,176,2025-11-30,available (unattached),"team:ml-ops,env:staging"
vol-01429416213,platform-prod-ebs-03,EBS,gp3-200GB,eu-west-1,platform,prod,0,0,0.67,20.0,122,2026-01-23,available (unattached),"team:platform,env:prod"
vol-09303285822,frontend-dev-ebs-04,EBS,gp3-100GB,ap-south-1,frontend,dev,0,0,0.33,10.0,38,2026-04-17,available (unattached),"team:frontend,env:dev"
vol-03271782991,data-eng-dev-ebs-05,EBS,gp3-100GB,eu-west-1,data-eng,dev,0,0,0.33,10.0,45,2026-04-10,available (unattached),"team:data-eng,env:dev"
vol-02135872495,data-eng-prod-ebs-06,EBS,gp3-1000GB,ap-south-1,data-eng,prod,0,0,3.33,100.0,39,2026-04-16,available (unattached),"team:data-eng,env:prod"
vol-03597724331,payments-dev-ebs-07,EBS,gp3-1000GB,eu-west-1,payments,dev,0,0,3.33,100.0,77,2026-03-09,available (unattached),"team:payments,env:dev"
vol-07393195616,payments-dev-ebs-08,EBS,gp3-200GB,ap-south-1,payments,dev,0,0,0.67,20.0,134,2026-01-11,available (unattached),"team:payments,env:dev"
vol-05310195918,ml-ops-dev-ebs-09,EBS,gp3-50GB,ap-south-1,ml-ops,dev,0,0,0.17,5.0,16,2026-05-09,available (unattached),"team:ml-ops,env:dev"
vol-08325785916,payments-sandbox-ebs-10,EBS,gp3-200GB,eu-west-1,payments,sandbox,0,0,0.67,20.0,146,2025-12-30,available (unattached),"team:payments,env:sandbox"
vol-03343292475,platform-prod-ebs-11,EBS,gp3-50GB,us-east-1,platform,prod,0,0,0.17,5.0,43,2026-04-12,available (unattached),"team:platform,env:prod"
vol-01547374338,frontend-staging-ebs-12,EBS,gp3-1000GB,us-east-1,frontend,staging,0,0,3.33,100.0,115,2026-01-30,available (unattached),"team:frontend,env:staging"
vol-03929454134,platform-dev-ebs-13,EBS,gp3-200GB,eu-west-1,platform,dev,0,0,0.67,20.0,58,2026-03-28,available (unattached),"team:platform,env:dev"
db-DAT4878,data-eng-sandbox-rds-01,RDS,db.t3.medium,ap-south-1,data-eng,sandbox,43.73,78.33,1.63,48.9,55,2026-04-29,available,"team:data-eng,env:sandbox"
db-PAY5065,payments-dev-rds-02,RDS,db.t3.medium,us-east-1,payments,dev,28.53,21.14,1.63,48.9,189,2026-05-19,available,"team:payments,env:dev"
db-PLA8541,platform-sandbox-rds-03,RDS,db.r5.2xlarge,us-east-1,platform,sandbox,2.91,31.36,23.04,691.2,68,2026-05-11,available,"team:platform,env:sandbox"
db-PAY5573,payments-sandbox-rds-04,RDS,db.t3.medium,us-east-1,payments,sandbox,3.07,54.9,1.63,48.9,112,2026-04-12,available,"team:payments,env:sandbox"
db-PLA5349,platform-prod-rds-05,RDS,db.m5.xlarge,ap-south-1,platform,prod,21.75,17.59,8.21,246.3,121,2026-05-03,available,"team:platform,env:prod"
db-ML-5173,ml-ops-prod-rds-06,RDS,db.m5.xlarge,ap-south-1,ml-ops,prod,35.95,59.61,8.21,246.3,10,2026-04-22,available,"team:ml-ops,env:prod"
db-DAT6409,data-eng-sandbox-rds-07,RDS,db.m5.large,eu-west-1,data-eng,sandbox,2.43,31.97,4.1,123.0,41,2026-05-06,available,"team:data-eng,env:sandbox"
db-ML-3085,ml-ops-dev-rds-08,RDS,db.m5.xlarge,ap-south-1,ml-ops,dev,23.3,39.43,8.21,246.3,107,2026-04-12,available,"team:ml-ops,env:dev"
s3-frontend-dev-bucket-01,frontend-dev-s3-01,S3,Standard-1625GB,us-east-1,frontend,dev,0,0,1.25,37.38,310,2026-04-04,active,"team:frontend,env:dev"
s3-data-eng-dev-bucket-02,data-eng-dev-s3-02,S3,Standard-203GB,us-east-1,data-eng,dev,0,0,0.16,4.67,250,2026-04-29,active,"team:data-eng,env:dev"
s3-frontend-dev-bucket-03,frontend-dev-s3-03,S3,Standard-4951GB,us-east-1,frontend,dev,0,0,3.8,113.87,256,2026-03-27,active,"team:frontend,env:dev"
s3-payments-sandbox-bucket-04,payments-sandbox-s3-04,S3,Standard-3822GB,us-east-1,payments,sandbox,0,0,2.93,87.91,116,2026-02-13,active,"team:payments,env:sandbox"
s3-data-eng-dev-bucket-05,data-eng-dev-s3-05,S3,Standard-894GB,us-east-1,data-eng,dev,0,0,0.69,20.56,150,2026-05-14,active,"team:data-eng,env:dev"
s3-payments-staging-bucket-06,payments-staging-s3-06,S3,Standard-2742GB,us-east-1,payments,staging,0,0,2.1,63.07,42,2026-05-07,active,"team:payments,env:staging"
s3-payments-sandbox-bucket-07,payments-sandbox-s3-07,S3,Standard-578GB,us-east-1,payments,sandbox,0,0,0.44,13.29,67,2026-03-08,active,"team:payments,env:sandbox"
s3-ml-ops-staging-bucket-08,ml-ops-staging-s3-08,S3,Standard-3930GB,us-east-1,ml-ops,staging,0,0,3.01,90.39,226,2026-02-23,active,"team:ml-ops,env:staging"
eipalloc-063640499,ml-ops-unused-eip-01,Elastic IP,eip-unassociated,ap-south-1,ml-ops,staging,0,0,0.12,3.6,88,2026-05-15,unassociated,team:ml-ops
eipalloc-067062156,platform-unused-eip-02,Elastic IP,eip-unassociated,ap-south-1,platform,staging,0,0,0.12,3.6,71,2026-03-17,unassociated,team:platform
eipalloc-084813739,platform-unused-eip-03,Elastic IP,eip-unassociated,ap-south-1,platform,prod,0,0,0.12,3.6,63,2026-04-28,unassociated,team:platform
eipalloc-099600766,ml-ops-unused-eip-04,Elastic IP,eip-unassociated,eu-west-1,ml-ops,dev,0,0,0.12,3.6,61,2026-02-26,unassociated,team:ml-ops
eipalloc-067276174,frontend-unused-eip-05,Elastic IP,eip-unassociated,eu-west-1,frontend,sandbox,0,0,0.12,3.6,25,2026-03-16,unassociated,team:frontend
eipalloc-044788100,ml-ops-unused-eip-06,Elastic IP,eip-unassociated,ap-south-1,ml-ops,dev,0,0,0.12,3.6,71,2026-03-14,unassociated,team:ml-ops
nat-0abc123456,platform-prod-nat-01,NAT Gateway,nat-gateway,us-east-1,platform,prod,0.3,0,1.44,43.2,180,2026-01-15,active,"team:platform,env:prod"
nat-0def234567,data-eng-dev-nat-02,NAT Gateway,nat-gateway,eu-west-1,data-eng,dev,0.05,0,1.08,32.4,90,2026-02-20,active,"team:data-eng,env:dev"
nat-0ghi345678,frontend-staging-nat-03,NAT Gateway,nat-gateway,ap-south-1,frontend,staging,0.12,0,1.08,32.4,65,2026-03-10,active,"team:frontend,env:staging"
alb-0abc123456,platform-dev-alb-01,ALB,application,us-east-1,platform,dev,0,0,0.53,16.0,45,2026-04-10,active,"team:platform,env:dev"
alb-0def234567,payments-staging-alb-02,ALB,application,eu-west-1,payments,staging,0,1,0.53,16.0,72,2026-03-20,active,"team:payments,env:staging"
nlb-0ghi345678,ml-ops-dev-nlb-03,NLB,network,ap-south-1,ml-ops,dev,0,0,0.53,16.0,38,2026-04-25,active,"team:ml-ops,env:dev"
i-old1234abc,platform-dev-ec2-oldgen-01,EC2,t2.large,us-east-1,platform,dev,45.2,52.3,2.23,66.82,180,2026-05-01,running,"team:platform,env:dev"
i-old2345bcd,data-eng-prod-ec2-oldgen-02,EC2,m4.xlarge,eu-west-1,data-eng,prod,38.7,45.1,4.8,144.0,365,2026-05-10,running,"team:data-eng,env:prod"
i-old3456cde,payments-staging-ec2-oldgen-03,EC2,c4.4xlarge,us-east-1,payments,staging,52.1,38.9,19.1,573.12,220,2026-04-15,running,"team:payments,env:staging"
i-old4567def,frontend-prod-ec2-oldgen-04,EC2,r4.2xlarge,ap-south-1,frontend,prod,28.4,62.3,12.77,383.04,150,2026-05-05,running,"team:frontend,env:prod"
snap-0abc123456,platform-dev-snap-01,EBS Snapshot,snap-500GB,us-east-1,platform,dev,0,0,0.83,25.0,120,2026-01-25,orphaned,"team:platform,env:dev"
snap-0def234567,data-eng-prod-snap-02,EBS Snapshot,snap-1000GB,eu-west-1,data-eng,prod,0,0,1.67,50.0,200,2025-11-04,orphaned,"team:data-eng,env:prod"
snap-0ghi345678,payments-staging-snap-03,EBS Snapshot,snap-2000GB,us-east-1,payments,staging,0,0,3.33,100.0,95,2026-02-19,orphaned,"team:payments,env:staging"
snap-0jkl456789,ml-ops-sandbox-snap-04,EBS Snapshot,snap-200GB,ap-south-1,ml-ops,sandbox,0,0,0.33,10.0,150,2026-01-26,orphaned,"team:ml-ops,env:sandbox"
snap-0mno567890,frontend-dev-snap-05,EBS Snapshot,snap-300GB,eu-west-1,frontend,dev,0,0,0.5,15.0,110,2026-02-04,orphaned,"team:frontend,env:dev"
vol-gp2-123456,frontend-prod-gp2-01,EBS,gp2-500GB,us-east-1,frontend,prod,0,0,1.67,50.0,365,2025-05-26,in-use,"team:frontend,env:prod"
vol-gp2-234567,data-eng-staging-gp2-02,EBS,gp2-1000GB,eu-west-1,data-eng,staging,0,0,3.33,100.0,180,2025-11-26,in-use,"team:data-eng,env:staging"
vol-gp2-345678,payments-dev-gp2-03,EBS,gp2-200GB,us-east-1,payments,dev,0,0,0.67,20.0,90,2026-02-24,in-use,"team:payments,env:dev"
vol-gp2-456789,ml-ops-prod-gp2-04,EBS,gp2-300GB,ap-south-1,ml-ops,prod,0,0,1.0,30.0,270,2025-09-28,in-use,"team:ml-ops,env:prod"
vol-gp2-567890,platform-staging-gp2-05,EBS,gp2-100GB,eu-west-1,platform,staging,0,0,0.33,10.0,120,2026-01-26,in-use,"team:platform,env:staging"
i-od1234abc,platform-prod-ec2-od-01,EC2,m5.xlarge,us-east-1,platform,prod,65.4,42.1,4.61,138.3,240,2025-09-28,running-ondemand,"team:platform,env:prod"
i-od2345bcd,payments-prod-ec2-od-02,EC2,m5.2xlarge,us-east-1,payments,prod,72.3,55.8,9.22,276.6,180,2025-11-27,running-ondemand,"team:payments,env:prod"
i-od3456cde,data-eng-prod-ec2-od-03,EC2,c5.4xlarge,us-east-1,data-eng,prod,58.7,38.4,16.32,489.6,365,2025-05-26,running-ondemand,"team:data-eng,env:prod"
i-od4567def,frontend-prod-ec2-od-04,EC2,r5.2xlarge,us-east-1,frontend,prod,45.2,68.9,12.1,363.0,270,2025-09-28,running-ondemand,"team:frontend,env:prod"
lg-platform-001,/aws/lambda/platform-api,CloudWatch Logs,log-group-infinite,us-east-1,platform,prod,0,0,0.5,15.0,365,2025-05-26,active,"team:platform,env:prod"
lg-payments-002,/aws/ecs/payments-service,CloudWatch Logs,log-group-infinite,eu-west-1,payments,prod,0,0,1.2,36.0,270,2025-09-28,active,"team:payments,env:prod"
lg-data-eng-003,/aws/glue/data-pipeline,CloudWatch Logs,log-group-infinite,us-east-1,data-eng,prod,0,0,0.8,24.0,180,2025-11-27,active,"team:data-eng,env:prod"
lg-ml-ops-004,/aws/sagemaker/training,CloudWatch Logs,log-group-infinite,ap-south-1,ml-ops,prod,0,0,0.3,9.0,120,2026-01-26,active,"team:ml-ops,env:prod"
lg-frontend-005,/aws/cloudfront/access,CloudWatch Logs,log-group-infinite,us-east-1,frontend,prod,0,0,0.6,18.0,200,2025-11-07,active,"team:frontend,env:prod"
i-stop123abc,platform-dev-ec2-stopped-01,EC2,m5.xlarge,us-east-1,platform,dev,0,0,0.5,15.0,60,2026-03-27,stopped,"team:platform,env:dev"
i-stop234bcd,data-eng-sandbox-ec2-stopped-02,EC2,m5.2xlarge,eu-west-1,data-eng,sandbox,0,0,1.0,30.0,90,2026-02-25,stopped,"team:data-eng,env:sandbox"
i-stop345cde,payments-dev-ec2-stopped-03,EC2,c5.4xlarge,us-east-1,payments,dev,0,0,1.67,50.0,45,2026-04-11,stopped,"team:payments,env:dev"
i-stop456def,ml-ops-staging-ec2-stopped-04,EC2,t3.large,ap-south-1,ml-ops,staging,0,0,0.33,10.0,30,2026-04-26,stopped,"team:ml-ops,env:staging"
cache-prod-001,data-eng-redis-prod-01,ElastiCache,cache.r6g.large,us-east-1,data-eng,prod,4.2,15.3,3.98,119.5,90,2026-02-25,available,"team:data-eng,env:prod"
cache-dev-002,platform-dev-redis-02,ElastiCache,cache.r6g.large,eu-west-1,platform,dev,1.8,8.7,3.98,119.5,60,2026-03-27,available,"team:platform,env:dev"
rs-staging-001,data-eng-redshift-staging,Redshift,dc2.large,us-east-1,data-eng,staging,3.5,12.4,6.0,180.0,180,2025-11-27,available,"team:data-eng,env:staging"
rs-prod-001,ml-ops-redshift-prod,Redshift,dc2.xlarge,ap-south-1,ml-ops,prod,2.1,9.8,12.0,360.0,120,2026-01-26,available,"team:ml-ops,env:prod"
